,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,BLOCK,LOT,BUILDING CLASS AT PRESENT,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,SALE DATE
0,1,ALPHABET CITY            ,03  THREE FAMILY DWELLINGS                  ,376,24,C0,264 EAST 7TH   STREET                    ,10009,3,0,3,2059,3696,1900,7738700,2016-12-22
1,1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,375,28,C4,738 EAST 6TH STREET                      ,10009,11,0,11,1750,6500,1900,3750000,2017-04-03
2,1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,385,36,C7,27 AVENUE C                              ,10009,24,1,25,2650,9960,1910,5235000,2017-07-11
3,1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,392,5,C2,151 AVENUE B                             ,10009,5,0,5,2139,4416,1900,0,2017-06-16
4,1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,392,6,C2,153 AVENUE B                             ,10009,5,0,5,1633,6440,1900,6625000,2017-07-19
5,1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,399,26,C7,234 EAST 4TH   STREET                    ,10009,28,3,31,4616,18690,1900,0,2016-12-14
6,1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,399,39,C7,197 EAST 3RD   STREET                    ,10009,16,1,17,2212,7803,1900,0,2016-12-09
7,1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,404,55,C2,301 EAST 10TH   STREET                   ,10009,6,0,6,2369,4615,1900,8000000,2016-11-17
8,1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,405,16,C4,516 EAST 12TH   STREET                   ,10009,20,0,20,2581,9730,1900,0,2017-07-20
9,1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,407,18,C7,520 EAST 14TH   STREET                   ,10009,44,2,46,5163,21007,1900,0,2017-07-20
10,1,ALPHABET CITY            ,08  RENTALS - ELEVATOR APARTMENTS           ,379,34,D5,141 AVENUE D                             ,10009,15,0,15,1534,9198,1920,0,2017-06-20
11,1,ALPHABET CITY            ,08  RENTALS - ELEVATOR APARTMENTS           ,387,153,D9,629 EAST 5TH STREET                      ,10009,24,0,24,4489,18523,1920,16232000,2016-11-07
12,1,ALPHABET CITY            ,08  RENTALS - ELEVATOR APARTMENTS           ,394,44,D7,181 AVENUE C                             ,10009,30,4,34,4295,21328,1910,0,2017-07-20
13,1,ALPHABET CITY            ,08  RENTALS - ELEVATOR APARTMENTS           ,400,21,D1,530-532 EAST 5TH STREET                  ,10009,10,0,10,3717,12350,2009,10350000,2016-10-17
21,1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,376,14,C6,244 EAST 7TH STREET                      ,10009,24,0,24,4131,16776,1928,11900000,2017-06-21
73,1,ALPHABET CITY            ,11A CONDO-RENTALS                           ,385,1102,RR,254 EAST 2ND STREET                      ,10009,47,0,47,0,36472,2005,28000000,2016-10-13
